"","Var1","variable","Covariance","treatment"
"397","ResinP","Drywt",0.152015969859526,"Manure10tha"
"398","WaterSolP","Drywt",-0.166317455849572,"Manure10tha"
"399","TotalP2","Drywt",0.00715241980588189,"Manure10tha"
"400","Drywt","NO3",0.00762516003009611,"Manure10tha"
"401","NO3","NO3",0.000771984695504263,"Manure10tha"
"402","NH4","NO3",0.00691683881350563,"Manure10tha"
"403","PO4","NO3",-0.00973983987702553,"Manure10tha"
"404","ResinP","NO3",0.012092601216797,"Manure10tha"
"405","WaterSolP","NO3",-0.00574980272405949,"Manure10tha"
"406","TotalP2","NO3",0.0124032826234228,"Manure10tha"
"407","Drywt","NH4",-0.0546757391967053,"Manure10tha"
"408","NO3","NH4",0.00691683881350563,"Manure10tha"
"409","NH4","NH4",0.220292644062127,"Manure10tha"
"410","PO4","NH4",0.267449048958339,"Manure10tha"
"411","ResinP","NH4",0.0664195593963745,"Manure10tha"
